firstname,lastname,email,phone1,phone2,phone3,address1,city,zipcode,country,website,company,tags
New,Royal Beauty and Unisex Salon,,+9779813451412,,,"M8RP+CCR, काठमाडौँ",,44600,NP,,New Royal Beauty and Unisex Salon,no_website
Treasure,Unisex Salon And Academy,,+9779745699898,,,काठमाडौँ,,44600,NP,,Treasure Unisex Salon And Academy,no_website
Plush,Salon and Makeup Academy,,+9779808428150,,,"Tindhara, काठमाडौँ",,44600,NP,,Plush Salon and Makeup Academy,no_website
M,Style Salon and Beauty Hub,,+9779851400005,,,"M8QJ+FVC, काठमाडौँ",,44600,NP,,M Style Salon and Beauty Hub,no_website
Elite,Hair Artist Salon and Academy,,+9779848067588,,,काठमाडौँ,,44600,NP,,Elite Hair Artist Salon and Academy,no_website
Benchmarks,Hair & Beauty Studio | Academy,,+97715912952,,,काठमाडौँ,,44600,NP,,Benchmarks Hair & Beauty Studio | Academy,no_website
Lavish,Salon,,+97714542030,,,"नारायणहिटी पथ, काठमाडौँ",,44600,NP,,Lavish Salon,no_website
Akala,Hair and beauty salon,,+9779860917399,,,"Samakhusi Marg, काठमाडौँ",,44600,NP,,Akala Hair and beauty salon,no_website
Krish,Hair and Beauty Salon,,+9779860293120,,,"काठमाडौँ, Putali Sadak, Star Mall Ground Floor",,44600,NP,,Krish Hair and Beauty Salon,no_website
Shantaz,Salon and International Academy,,+97714917717,,,"Pipalbot, पाको सडक, काठमाडौँ",,44600,NP,,Shantaz Salon and International Academy,no_website
Pi,Barber Studio,,+9779706091284,,,काठमाडौँ,,44600,NP,,Pi Barber Studio,no_website
&,Salon,,+9779801021263,,,"Gahana Pokhari Marg, काठमाडौँ",,44600,NP,,& Salon,no_website
Shahinoor,Unisex Salon Samakoshi,,+9779842748877,,,"Rehdon pool, काठमाडौँ",,46000,NP,,Shahinoor Unisex Salon Samakoshi,no_website
Yang,beauty care,,+9779849209569,,,"Galkopakha Marg, काठमाडौँ",,44600,NP,,Yang beauty care,no_website
फील,युनिसेक्स ब्यूटी सैलुन र प्रशिक्षण केन्द्र,,+9779847533414,,,"पुरानो बानेश्वर-३४, देवकोटा सडक",,44600,NP,,फील युनिसेक्स ब्यूटी सैलुन र प्रशिक्षण केन्द्र,no_website
FEELING'S,BEAUTY & TRAINING CENTRE,,+9779843477274,,,काठमाडौँ,,44600,NP,,FEELING'S BEAUTY & TRAINING CENTRE,no_website
Kaluwa,Unisex Parlour,,+9779812127568,,,काठमाडौँ,,44617,NP,,Kaluwa Unisex Parlour,no_website
Monika,Unisex Salon & Academy,,+9779857075295,,,काठमाडौँ,,44600,NP,,Monika Unisex Salon & Academy,no_website
Lavish,Beauty Studio and Training Center,,+9779851223829,,,Baneshwor behind BICC hall,,44600,NP,,Lavish Beauty Studio and Training Center,no_website
nails,academy,,+9779802351301,,,"Near by koteshwor sky bridge, काठमाडौँ",,44600,NP,,nails academy,no_website
Ananeke,Beauty Salon,,+97714582806,,,"Tusal Marg, काठमाडौँ",,44600,NP,,Ananeke Beauty Salon,no_website
Shantaj,Beauty Salon & Training Center,,+9779860954232,,,"भक्ति थापा सडक, काठमाडौँ",,44600,NP,,Shantaj Beauty Salon & Training Center,no_website
Emacity,_Nepal,,+9779860535460,,,"Sano Kharibot, काठमाडौँ",,44600,NP,,Emacity _Nepal,no_website
Reflections,Beauty Salon,,+9779851353700,,,काठमाडौँ,,44600,NP,,Reflections Beauty Salon,no_website
Bliss,by Sakil Kunwar Durbar Marg,,+97715339065,,,"Above MODENA & SEIKO shop, 2 Darbar Marg, काठमाडौँ 1",,,NP,,Bliss by Sakil Kunwar Durbar Marg,no_website
Beauty,Parlor,,+9779703580657,,,"P873+4JC, Swayambhu Marg, काठमाडौँ",,44600,NP,,Beauty Parlor,no_website
The,Beauty Bar,,+97714522551,,,"सम मार्ग, काठमाडौँ",,44600,NP,,The Beauty Bar,no_website
Jasmine,Unisex Salon & Academy,,+9779851321376,,,"Tinchuli Chowk, काठमाडौँ",,44600,NP,,Jasmine Unisex Salon & Academy,no_website
GlowToGlow,The Beauty Studio - Best Bridal Makeup in Kathmandu Nepal,,+97714526142,,,"Pipalbot, काठमाडौँ",,44600,NP,,GlowToGlow The Beauty Studio - Best Bridal Makeup in Kathmandu Nepal,no_website
बाल-मा,भएको पेटी,,+97714561383,,,"Ac Complex, 3rd Floor,AC complex, चाबहिल मार्ग, काठमाडौँ",,44602,NP,,बाल-मा भएको पेटी,no_website
J&J,Unisex Salon,,+9779808891676,,,"P8P7+7QJ, टोखा",,44600,NP,,J&J Unisex Salon,no_website
Goodwill,Spa & Beauty Parlour,,+9779843048345,,,"ठमेल मार्ग, काठमाडौँ",,44600,NP,,Goodwill Spa & Beauty Parlour,no_website
Laxmi,Beauty Studio & Unisex Salon,,+9779851096622,,,"4th Floor, Shop No: 411, काठमाण्डौ मल, सुन्धारा मार्ग, काठमाडौँ",,44600,NP,,Laxmi Beauty Studio & Unisex Salon,no_website
Julie's,Unisex Salon Durbar marg,,+9779802318104,,,"MOTi Mahal Building 1st floor Opposite side of Rastriya Banijya Bank, काठमाडौँ",,44600,NP,,Julie's Unisex Salon Durbar marg,no_website
neeldavid,,,+9779851012061,,,"Civil Mall, 1st floor, काठमाडौँ",,44600,NP,,neeldavid,no_website
Diamond,Beauty Hub,,+9779851206692,,,"City Square, काठमाडौँ",,44600,NP,,Diamond Beauty Hub,no_website
Beyond,Beauty Salon Academy,,+9779862749360,,,"P8RM+W87, काठमाडौँ",,44600,NP,,Beyond Beauty Salon Academy,no_website
Archanique,Unisex Salon,,+9779810125652,,,"Pipalbot, काठमाडौँ",,44600,NP,,Archanique Unisex Salon,no_website
Posh,Beauty Studio,,+9779851023825,,,काठमाडौँ,,44600,NP,,Posh Beauty Studio,no_website
Creamy,Unisex Beauty Salon,,+9779805044215,,,"Gangahiti Marg, काठमाडौँ",,44600,NP,,Creamy Unisex Beauty Salon,no_website
o2,Nails & Beauty Studio,,+9779810020638,,,"Chandra Vinayak Marg, काठमाडौँ",,44600,NP,,o2 Nails & Beauty Studio,no_website
REETAZ,REDEFINED BEAUTY PARLOR,,+9779843709050,,,"KL Tower, Chabahil, Shanti Goreto, काठमाडौँ",,44600,NP,,REETAZ REDEFINED BEAUTY PARLOR,no_website
Midas,Touch - Home Salon Service,,+9779808122854,,,"Mid, Prachin Galli, काठमाडौँ",,44600,NP,,Midas Touch - Home Salon Service,no_website
Lotus,Skin And Hair Care Beauty Parlour,,+9779841216498,,,"P88V+HX2, काठमाडौँ",,44600,NP,,Lotus Skin And Hair Care Beauty Parlour,no_website
Zenny's,Beauty Salon And Training Center,,+9779863494919,,,"Balaju Sohrakhutte Sadak, काठमाडौँ",,44600,NP,,Zenny's Beauty Salon And Training Center,no_website
